round	UTS_p0.02_1s	CUTS_p0.02_4s	TS	CTS_4s
0	0.534208	0.080770	0.797200	0.574802
1	1.042112	0.159017	1.592800	1.148437
2	1.539760	0.237808	2.390000	1.721198
3	2.029056	0.316972	3.186800	2.294250
4	2.509104	0.395302	3.983920	2.866195
5	2.985584	0.473237	4.780640	3.438606
6	3.456448	0.551185	5.576880	4.010958
7	3.924144	0.629166	6.373520	4.582436
8	4.386496	0.706566	7.170080	5.154322
9	4.846016	0.784007	7.966640	5.724166
10	5.300288	0.861227	8.763120	6.294886
11	5.749600	0.938028	9.560240	6.865022
12	6.197440	1.015069	10.357760	7.437491
13	6.643584	1.092351	11.153840	8.007919
14	7.084672	1.168721	11.951040	8.577006
15	7.521760	1.245612	12.748080	9.146092
16	7.958400	1.321865	13.544720	9.714712
17	8.390848	1.397853	14.341200	10.283216
18	8.822256	1.473965	15.136000	10.850319
19	9.250480	1.549815	15.931760	11.415848
20	9.676768	1.625994	16.727600	11.983185
21	10.099184	1.702025	17.524080	12.547665
22	10.520720	1.777489	18.319840	13.113310
23	10.936688	1.852573	19.114720	13.678198
24	11.349472	1.927592	19.910080	14.243669
25	11.763200	2.002680	20.705600	14.808439
26	12.171744	2.077275	21.501600	15.373327
27	12.579568	2.151691	22.298080	15.936407
28	12.985776	2.226352	23.093840	16.497970
29	13.388912	2.300220	23.889760	17.059416
30	13.789008	2.374317	24.685680	17.621038
31	14.189344	2.448078	25.481200	18.180035
32	14.588608	2.522191	26.276160	18.738799
33	14.983504	2.596137	27.071840	19.298730
34	15.375264	2.669665	27.867200	19.856035
35	15.765728	2.743008	28.661840	20.412233
36	16.156320	2.816084	29.457280	20.965049
37	16.544384	2.889996	30.251840	21.518680
38	16.931200	2.963200	31.047120	22.071437
39	17.316208	3.036071	31.842640	22.623203
40	17.697072	3.109056	32.637760	23.173977
41	18.078592	3.182174	33.432720	23.724984
42	18.456800	3.254077	34.227440	24.270684
43	18.832800	3.326045	35.021680	24.818368
44	19.205280	3.398212	35.816640	25.366517
45	19.579952	3.469744	36.610880	25.909535
46	19.952032	3.542244	37.405760	26.452902
47	20.319712	3.613970	38.201280	26.993820
48	20.688576	3.686120	38.997040	27.535088
49	21.057232	3.757649	39.791760	28.073032
50	21.423200	3.829699	40.586400	28.611850
51	21.789440	3.901054	41.381840	29.144312
52	22.151728	3.972044	42.176240	29.677240
53	22.512016	4.042771	42.970080	30.208010
54	22.871840	4.113494	43.764400	30.733882
55	23.230880	4.183952	44.559360	31.260453
56	23.588928	4.254636	45.353920	31.786091
57	23.943792	4.324469	46.148560	32.306714
58	24.298656	4.395232	46.942800	32.825062
59	24.654752	4.465012	47.736720	33.338920
60	25.007488	4.534550	48.530880	33.853535
61	25.359728	4.604415	49.324160	34.362027
62	25.707808	4.674064	50.118160	34.869645
63	26.055632	4.743549	50.912720	35.371896
64	26.402608	4.812602	51.706720	35.873973
65	26.748992	4.881972	52.502720	36.368060
66	27.092112	4.951544	53.296880	36.860048
67	27.433680	5.020990	54.091680	37.347545
68	27.775200	5.089566	54.887440	37.833584
69	28.114896	5.158681	55.680640	38.312508
70	28.453072	5.227150	56.474720	38.789682
71	28.791088	5.294715	57.269040	39.264290
72	29.126048	5.362827	58.062880	39.729509
73	29.463104	5.430793	58.855040	40.195719
74	29.797808	5.498203	59.648720	40.656738
75	30.130448	5.565820	60.443440	41.112392
76	30.462560	5.634102	61.237440	41.560115
77	30.794336	5.701106	62.031040	42.006555
78	31.121632	5.768716	62.824480	42.450370
79	31.449536	5.836668	63.619760	42.889519
80	31.776912	5.903580	64.412720	43.326861
81	32.103520	5.970451	65.206240	43.757146
82	32.428576	6.037060	65.999040	44.184223
83	32.750864	6.103449	66.791280	44.608968
84	33.074240	6.169961	67.584000	45.027414
85	33.394496	6.236679	68.377360	45.445277
86	33.714912	6.303049	69.171600	45.861157
87	34.037232	6.368970	69.963360	46.268580
88	34.357328	6.435393	70.755840	46.672854
89	34.675568	6.500989	71.547440	47.076954
90	34.992944	6.566711	72.339200	47.469681
91	35.305824	6.631952	73.131280	47.861066
92	35.619264	6.697643	73.924960	48.249011
93	35.933280	6.762709	74.718400	48.638588
94	36.243920	6.827883	75.511280	49.018193
95	36.552224	6.892629	76.303120	49.397390
96	36.861264	6.957270	77.095200	49.771979
97	37.167136	7.021719	77.888080	50.145169
98	37.475088	7.086477	78.679680	50.519292
99	37.780432	7.150342	79.471280	50.889157
100	38.083392	7.214803	80.262960	51.256457
101	38.388208	7.278872	81.055360	51.617516
102	38.690912	7.342640	81.847680	51.977350
103	38.993872	7.406622	82.637840	52.328670
104	39.294320	7.470304	83.430720	52.678356
105	39.595008	7.534315	84.222160	53.028976
106	39.896288	7.598193	85.014160	53.374172
107	40.194720	7.662049	85.806000	53.716744
108	40.491120	7.725158	86.597600	54.059957
109	40.786288	7.788927	87.388320	54.397572
110	41.078096	7.852018	88.179600	54.730054
111	41.369680	7.913734	88.968640	55.058279
112	41.659312	7.976102	89.759680	55.382363
113	41.951376	8.039326	90.551680	55.706273
114	42.239840	8.101395	91.341840	56.028840
115	42.526880	8.164080	92.130560	56.348784
116	42.812368	8.226540	92.920480	56.667095
117	43.098096	8.288266	93.711680	56.980740
118	43.383712	8.350695	94.502320	57.288844
119	43.668976	8.411627	95.294560	57.594208
120	43.953440	8.473356	96.084880	57.903712
121	44.236848	8.535062	96.874720	58.207209
122	44.517856	8.596647	97.665280	58.506099
123	44.797824	8.657379	98.455360	58.801257
124	45.075936	8.719001	99.244800	59.098339
125	45.351392	8.779892	100.035440	59.389472
126	45.628752	8.840389	100.826240	59.677923
127	45.905424	8.901391	101.615280	59.965965
128	46.179600	8.962020	102.404560	60.250392
129	46.453904	9.022357	103.192160	60.531786
130	46.725328	9.082614	103.982720	60.812364
131	46.995952	9.143202	104.768560	61.083143
132	47.267712	9.202774	105.558480	61.353223
133	47.536096	9.262826	106.346240	61.621670
134	47.805296	9.322457	107.135520	61.882069
135	48.072576	9.381508	107.923360	62.144334
136	48.336992	9.441058	108.711360	62.402925
137	48.602160	9.500911	109.500960	62.662857
138	48.865152	9.560776	110.289840	62.914333
139	49.126976	9.619608	111.076800	63.166567
140	49.390864	9.679087	111.864800	63.411569
141	49.651504	9.738263	112.653600	63.653656
142	49.911952	9.796424	113.440240	63.900991
143	50.170128	9.855311	114.226800	64.136953
144	50.428016	9.913469	115.014000	64.376474
145	50.684208	9.971961	115.801840	64.609170
146	50.941104	10.029902	116.589600	64.840059
147	51.196144	10.088379	117.377600	65.069140
148	51.449552	10.146603	118.165840	65.296122
149	51.701856	10.204307	118.951360	65.513889
150	51.954528	10.261714	119.737040	65.726698
151	52.203584	10.319311	120.522800	65.948314
152	52.451536	10.376972	121.307600	66.157450
153	52.701456	10.434217	122.092240	66.365186
154	52.949024	10.491656	122.878640	66.574146
155	53.196352	10.548627	123.662640	66.778558
156	53.440400	10.605800	124.445760	66.980812
157	53.682528	10.662869	125.230400	67.177758
158	53.924960	10.719737	126.015040	67.370273
159	54.163504	10.776290	126.800160	67.560921
160	54.401696	10.832796	127.584640	67.744629
161	54.640320	10.888818	128.369440	67.927112
162	54.878000	10.945116	129.152640	68.108545
163	55.114880	11.001309	129.934400	68.284847
164	55.348704	11.056709	130.718560	68.459165
165	55.581296	11.112683	131.503120	68.630743
166	55.812400	11.168560	132.286080	68.796022
167	56.042496	11.224121	133.069680	68.961300
168	56.270048	11.279871	133.850880	69.125005
169	56.500496	11.335174	134.632800	69.286551
170	56.726272	11.390877	135.415600	69.446290
171	56.952480	11.445616	136.197360	69.600429
172	57.178640	11.500651	136.978160	69.751945
173	57.402624	11.555350	137.760400	69.903227
174	57.624704	11.610028	138.538880	70.053576
175	57.846208	11.664571	139.318720	70.197218
176	58.066544	11.719617	140.098560	70.337886
177	58.287312	11.774206	140.878720	70.476104
178	58.506160	11.827940	141.659120	70.612923
179	58.723440	11.881757	142.439200	70.748867
180	58.938832	11.935639	143.218880	70.879212
181	59.157168	11.989423	143.999360	71.007166
182	59.371600	12.042647	144.778240	71.131213
183	59.586592	12.096221	145.555760	71.251469
184	59.797296	12.149450	146.334080	71.368109
185	60.007712	12.202348	147.111040	71.482124
186	60.218864	12.256049	147.890640	71.596723
187	60.427392	12.309451	148.665760	71.709922
188	60.636064	12.362958	149.443360	71.824229
189	60.842960	12.415771	150.218160	71.932996
190	61.047920	12.469204	150.997280	72.037622
191	61.251776	12.521947	151.773280	72.139799
192	61.454624	12.574119	152.550000	72.240576
193	61.657312	12.626499	153.325920	72.340711
194	61.860016	12.679174	154.098480	72.437931
195	62.059120	12.731299	154.875200	72.532701
196	62.258256	12.782925	155.647840	72.627062
197	62.456160	12.835181	156.422080	72.718392
198	62.654192	12.887472	157.193680	72.804530
199	62.849584	12.939519	157.963680	72.889794
200	63.044208	12.990923	158.735600	72.969692
201	63.238880	13.042065	159.503840	73.052215
202	63.432992	13.093239	160.271600	73.130656
203	63.625328	13.144296	161.043360	73.205364
204	63.816544	13.195109	161.812800	73.281879
205	64.006272	13.245425	162.582560	73.356121
206	64.198000	13.296273	163.351760	73.428846
207	64.385696	13.347030	164.119280	73.498596
208	64.572464	13.397648	164.888240	73.565664
209	64.759376	13.448130	165.655600	73.632791
210	64.944976	13.498069	166.422080	73.698809
211	65.130192	13.548765	167.189680	73.763369
212	65.313056	13.598783	167.955680	73.827171
213	65.494976	13.648726	168.720080	73.885666
214	65.675136	13.699020	169.483920	73.944336
215	65.855296	13.748628	170.245280	74.002306
216	66.035344	13.798193	171.009440	74.056544
217	66.212576	13.848337	171.772720	74.110665
218	66.387600	13.897678	172.533040	74.165777
219	66.563248	13.947047	173.294240	74.216982
220	66.736976	13.996188	174.055360	74.265155
221	66.909968	14.045457	174.815520	74.312802
222	67.081632	14.095091	175.571840	74.360100
223	67.249888	14.144350	176.329040	74.405764
224	67.419968	14.192948	177.083520	74.451020
225	67.587744	14.241786	177.844240	74.493536
226	67.753520	14.290374	178.601920	74.535759
227	67.921184	14.339455	179.357360	74.577575
228	68.088064	14.388404	180.112320	74.616183
229	68.254144	14.436871	180.867120	74.655024
230	68.417648	14.485112	181.617200	74.694740
231	68.580544	14.533930	182.367760	74.729848
232	68.743808	14.582106	183.118560	74.766473
233	68.905200	14.630125	183.867440	74.803390
234	69.065760	14.678014	184.619360	74.838440
235	69.225552	14.726377	185.369520	74.870691
236	69.386688	14.774425	186.116000	74.901192
237	69.546432	14.822324	186.864720	74.931985
238	69.703968	14.869743	187.612320	74.961845
239	69.860272	14.917371	188.354720	74.992230
240	70.017696	14.964133	189.098720	75.022148
241	70.171968	15.011976	189.838320	75.049675
242	70.324128	15.058979	190.580560	75.075744
243	70.476848	15.106307	191.316320	75.101813
244	70.630672	15.153277	192.057840	75.128116
245	70.782384	15.199894	192.796640	75.153018
246	70.935440	15.245959	193.534160	75.178271
247	71.085648	15.292720	194.273760	75.202940
248	71.235504	15.339121	195.008880	75.225160
249	71.384864	15.385310	195.747040	75.247730
250	71.532752	15.431689	196.480560	75.270591
251	71.680544	15.478077	197.213200	75.291587
252	71.828656	15.524000	197.945680	75.312057
253	71.975072	15.569231	198.677760	75.333694
254	72.122128	15.614999	199.407200	75.353172
255	72.267136	15.660428	200.136880	75.372360
256	72.412160	15.706119	200.867440	75.389972
257	72.556224	15.752501	201.593440	75.407702
258	72.698176	15.797650	202.322160	75.425548
259	72.840704	15.843145	203.048240	75.443860
260	72.980384	15.887714	203.774000	75.461881
261	73.119616	15.933127	204.500400	75.477569
262	73.256656	15.978049	205.220720	75.492966
263	73.395696	16.023026	205.943600	75.506787
264	73.534112	16.068107	206.662720	75.522475
265	73.669392	16.113174	207.382000	75.537405
266	73.805712	16.157705	208.097760	75.552335
267	73.940800	16.202701	208.812880	75.566157
268	74.076176	16.246989	209.523440	75.579279
269	74.211216	16.291403	210.240080	75.593626
270	74.345824	16.335616	210.958240	75.605173
271	74.480640	16.380278	211.673520	75.618354
272	74.612736	16.424646	212.385920	75.630892
273	74.745168	16.468313	213.100640	75.642790
274	74.876896	16.511817	213.807920	75.654804
